algorithm,avg_cost_per_step,avg_fill_rate,avg_stockout_rate,avg_bullwhip_cv,avg_transport_per_step,avg_route_distance_per_step,routing_feasible_rate,runtime_sec
BaseStock,577.8666666666667,0.48507502362928484,0.5149249763707152,1.847748088319267,0.0,0.0,1.0,0.0165860652923584
"(s,S)",624.6777777777778,0.460667932907365,0.539332067092635,2.492206865269361,0.0,0.0,1.0,0.015019655227661133
BaseStock+Savings,602.4885612000613,0.48507502362928484,0.5149249763707152,1.847748088319267,24.621894533394652,24.621894533394652,1.0,0.020518064498901367
"(s,S)+Savings",646.0090580747182,0.460667932907365,0.539332067092635,2.492206865269361,21.331280296940395,21.331280296940395,1.0,0.019299983978271484
BaseStock+Savings2Opt,602.4885612000613,0.48507502362928484,0.5149249763707152,1.847748088319267,24.621894533394652,24.621894533394652,1.0,0.024478435516357422
"(s,S)+Savings2Opt",646.0090580747182,0.460667932907365,0.539332067092635,2.492206865269361,21.331280296940395,21.331280296940395,1.0,0.023355960845947266
BaseStock+NearestInsertion,602.4885612000613,0.48507502362928484,0.5149249763707152,1.847748088319267,24.621894533394652,24.621894533394652,1.0,0.023282527923583984
"(s,S)+NearestInsertion",646.0090580747182,0.460667932907365,0.539332067092635,2.492206865269361,21.331280296940395,21.331280296940395,1.0,0.025061607360839844
BaseStock+GARouting,602.4885612000613,0.48507502362928484,0.5149249763707152,1.847748088319267,24.621894533394652,24.621894533394652,1.0,2.413477659225464
"(s,S)+GARouting",646.0090580747182,0.460667932907365,0.539332067092635,2.492206865269361,21.331280296940395,21.331280296940395,1.0,2.0294764041900635
GAInventory+Savings,184.66816797346826,0.9019626143320781,0.09803738566792197,2.1904004416359526,55.74594575124603,55.74594575124603,1.0,0.5754945278167725
GAInventory+Savings2Opt,184.66816797346826,0.9019626143320781,0.09803738566792197,2.1904004416359526,55.74594575124603,55.74594575124603,1.0,0.5723414421081543
ALNSInventory+Savings,180.98568694911123,0.921761464288263,0.078238535711737,3.2337017135033697,57.263464726889005,57.263464726889005,1.0,0.15238070487976074
ALNSInventory+Savings2Opt,180.98568694911123,0.921761464288263,0.078238535711737,3.2337017135033697,57.263464726889005,57.263464726889005,1.0,0.15207576751708984
ALNS-IRP,188.77457583800012,0.9175849620652811,0.08241503793471898,3.234745245724747,57.54124250466679,57.54124250466679,1.0,0.5473136901855469
MILP,89.76666666666667,1.0,0.0,1.2824196448784002,0.0,0.0,1.0,3.6178834438323975
